## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT results/aligned/nr12.sorted.bam --OUTPUT results/aligned/nr12.dedup.bam --METRICS_FILE results/qc/dedup/nr12_dedup_metrics.txt --REMOVE_DUPLICATES false --VALIDATION_STRINGENCY LENIENT --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_DUP_STRATEGY FLOW_QUALITY_SUM_STRATEGY --FLOW_USE_END_IN_UNPAIRED_READS false --FLOW_USE_UNPAIRED_CLIPPED_END false --FLOW_UNPAIRED_END_UNCERTAINTY 0 --FLOW_UNPAIRED_START_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Mar 06 11:14:37 CET 2026

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
nr12	98752	31399245	917754	1108616	58218	12230234	10725356	0.389821	135029772

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.461514	12643258	0	17825429
2.0	2.619796	3712382	3220555	1292521
3.0	3.537758	1447575	1287235	34710
4.0	4.265264	668793	604397	3826
5.0	4.841827	333085	301567	2578
6.0	5.298766	171105	153048	2115
7.0	5.6609	89243	78313	1710
8.0	5.947899	47338	40419	1342
9.0	6.175352	25175	20948	1073
10.0	6.355613	13569	10685	808
11.0	6.498474	7467	5608	596
12.0	6.611694	3960	2853	401
13.0	6.701423	2181	1528	272
14.0	6.772536	1196	752	175
15.0	6.828894	706	423	150
16.0	6.873559	417	225	116
17.0	6.908957	274	127	97
18.0	6.937011	156	45	72
19.0	6.959244	103	28	58
20.0	6.976865	91	24	67
21.0	6.990829	75	9	58
22.0	7.001896	52	5	44
23.0	7.010667	43	3	36
24.0	7.017618	42	4	41
25.0	7.023127	36	0	36
26.0	7.027493	34	0	26
27.0	7.030953	21	0	25
28.0	7.033695	15	0	14
29.0	7.035869	24	0	23
30.0	7.037591	26	0	27
31.0	7.038956	14	0	11
32.0	7.040038	15	0	17
33.0	7.040895	16	0	16
34.0	7.041575	17	0	17
35.0	7.042113	16	0	17
36.0	7.04254	11	0	11
37.0	7.042878	11	0	9
38.0	7.043146	13	0	15
39.0	7.043359	13	0	12
40.0	7.043527	14	0	14
41.0	7.04366	14	0	12
42.0	7.043766	8	0	10
43.0	7.04385	8	0	9
44.0	7.043916	15	0	11
45.0	7.043969	9	0	10
46.0	7.044011	10	0	11
47.0	7.044044	6	0	7
48.0	7.04407	8	0	6
49.0	7.044091	9	0	10
50.0	7.044107	4	0	6
51.0	7.04412	12	0	11
52.0	7.044131	8	0	7
53.0	7.044139	6	0	5
54.0	7.044145	6	0	5
55.0	7.04415	9	0	9
56.0	7.044154	8	0	11
57.0	7.044158	6	0	5
58.0	7.04416	5	0	5
59.0	7.044162	6	0	4
60.0	7.044164	8	0	9
61.0	7.044165	4	0	4
62.0	7.044166	5	0	6
63.0	7.044167	6	0	5
64.0	7.044168	6	0	7
65.0	7.044168	6	0	6
66.0	7.044168	5	0	6
67.0	7.044169	9	0	8
68.0	7.044169	3	0	5
69.0	7.044169	6	0	5
70.0	7.044169	3	0	1
71.0	7.04417	0	0	2
72.0	7.04417	8	0	6
73.0	7.04417	3	0	7
74.0	7.04417	6	0	3
75.0	7.04417	6	0	6
76.0	7.04417	6	0	6
77.0	7.04417	5	0	4
78.0	7.04417	5	0	4
79.0	7.04417	4	0	8
80.0	7.04417	7	0	4
81.0	7.04417	2	0	1
82.0	7.04417	2	0	4
83.0	7.04417	2	0	1
84.0	7.04417	4	0	4
85.0	7.04417	1	0	1
86.0	7.04417	3	0	3
87.0	7.04417	1	0	1
88.0	7.04417	2	0	3
89.0	7.04417	6	0	4
90.0	7.04417	1	0	1
91.0	7.04417	0	0	1
92.0	7.04417	2	0	1
93.0	7.04417	1	0	3
94.0	7.04417	4	0	3
95.0	7.04417	3	0	4
96.0	7.04417	5	0	3
97.0	7.04417	1	0	1
98.0	7.04417	2	0	2
99.0	7.04417	3	0	4
100.0	7.04417	2	0	1
101.0	0	1	0	1
102.0	0	0	0	2
103.0	0	2	0	0
104.0	0	1	0	3
105.0	0	3	0	3
106.0	0	1	0	1
107.0	0	2	0	1
108.0	0	1	0	3
109.0	0	2	0	0
110.0	0	1	0	1
111.0	0	1	0	1
112.0	0	1	0	2
113.0	0	2	0	4
114.0	0	4	0	1
115.0	0	1	0	0
116.0	0	2	0	2
117.0	0	1	0	2
118.0	0	1	0	1
119.0	0	1	0	2
121.0	0	2	0	1
122.0	0	1	0	1
123.0	0	3	0	3
124.0	0	1	0	0
125.0	0	0	0	1
126.0	0	0	0	1
127.0	0	1	0	1
128.0	0	1	0	1
129.0	0	2	0	3
130.0	0	3	0	0
131.0	0	0	0	1
132.0	0	1	0	0
134.0	0	2	0	3
135.0	0	2	0	1
136.0	0	1	0	2
137.0	0	2	0	2
140.0	0	2	0	2
142.0	0	1	0	1
143.0	0	0	0	1
145.0	0	2	0	1
146.0	0	2	0	4
147.0	0	2	0	0
148.0	0	2	0	1
149.0	0	1	0	2
150.0	0	3	0	3
151.0	0	1	0	0
152.0	0	1	0	1
155.0	0	1	0	1
156.0	0	0	0	2
158.0	0	3	0	2
159.0	0	2	0	2
160.0	0	1	0	0
162.0	0	1	0	1
164.0	0	0	0	1
165.0	0	1	0	1
167.0	0	1	0	0
169.0	0	0	0	1
170.0	0	1	0	0
171.0	0	1	0	2
172.0	0	1	0	0
173.0	0	0	0	1
175.0	0	1	0	0
181.0	0	1	0	1
184.0	0	1	0	2
185.0	0	1	0	0
188.0	0	1	0	2
191.0	0	0	0	2
192.0	0	2	0	0
193.0	0	1	0	0
197.0	0	0	0	2
198.0	0	2	0	0
201.0	0	0	0	2
202.0	0	2	0	1
203.0	0	1	0	0
204.0	0	1	0	1
209.0	0	1	0	1
224.0	0	1	0	1
231.0	0	0	0	1
234.0	0	1	0	1
236.0	0	1	0	0
239.0	0	0	0	1
242.0	0	1	0	0
247.0	0	0	0	1
248.0	0	1	0	0
250.0	0	0	0	1
251.0	0	1	0	0
264.0	0	1	0	1
265.0	0	0	0	1
269.0	0	1	0	0
276.0	0	0	0	1
277.0	0	0	0	1
278.0	0	1	0	0
279.0	0	1	0	0
289.0	0	0	0	1
290.0	0	1	0	0
293.0	0	0	0	2
294.0	0	1	0	0
297.0	0	1	0	0
298.0	0	0	0	1
304.0	0	0	0	1
306.0	0	2	0	1
307.0	0	0	0	1
310.0	0	1	0	0
313.0	0	1	0	0
321.0	0	0	0	1
323.0	0	1	0	0
330.0	0	0	0	1
333.0	0	1	0	0

