## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT results/aligned/nr30.sorted.bam --OUTPUT results/aligned/nr30.dedup.bam --METRICS_FILE results/qc/dedup/nr30_dedup_metrics.txt --REMOVE_DUPLICATES false --VALIDATION_STRINGENCY LENIENT --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_DUP_STRATEGY FLOW_QUALITY_SUM_STRATEGY --FLOW_USE_END_IN_UNPAIRED_READS false --FLOW_USE_UNPAIRED_CLIPPED_END false --FLOW_UNPAIRED_END_UNCERTAINTY 0 --FLOW_UNPAIRED_START_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Mar 05 15:52:46 CET 2026

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
nr30	141698	38883583	1314272	1011932	88037	13120747	11117333	0.337953	183041493

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.359754	18106757	0	23971645
2.0	2.459273	4765157	4027072	1719503
3.0	3.348362	1619997	1380506	49696
4.0	4.067295	665144	580745	6247
5.0	4.648636	303026	265998	3471
6.0	5.118717	146703	128120	2491
7.0	5.498833	73711	63200	1899
8.0	5.806201	37662	31215	1594
9.0	6.054744	19615	15519	1234
10.0	6.25572	10445	7836	994
11.0	6.418232	5759	3990	795
12.0	6.549643	3135	1980	605
13.0	6.655903	1840	1059	473
14.0	6.741827	1101	545	343
15.0	6.811307	633	278	246
16.0	6.867489	410	142	185
17.0	6.912919	243	73	124
18.0	6.949655	180	32	119
19.0	6.979359	123	20	85
20.0	7.003379	85	11	67
21.0	7.022802	80	4	55
22.0	7.038508	59	5	57
23.0	7.051208	61	1	42
24.0	7.061477	42	0	32
25.0	7.069781	40	1	44
26.0	7.076495	36	0	32
27.0	7.081925	31	0	32
28.0	7.086316	33	0	32
29.0	7.089866	32	0	24
30.0	7.092737	18	0	30
31.0	7.095058	25	0	28
32.0	7.096935	29	0	21
33.0	7.098453	26	0	20
34.0	7.09968	26	0	26
35.0	7.100673	18	1	20
36.0	7.101475	23	0	27
37.0	7.102124	23	0	18
38.0	7.102649	16	0	15
39.0	7.103073	20	0	13
40.0	7.103416	14	0	16
41.0	7.103694	8	0	8
42.0	7.103918	15	0	16
43.0	7.104099	17	0	11
44.0	7.104246	10	0	11
45.0	7.104365	14	0	17
46.0	7.104461	17	0	12
47.0	7.104538	16	0	13
48.0	7.104601	9	0	11
49.0	7.104652	15	0	10
50.0	7.104693	4	0	3
51.0	7.104726	10	0	12
52.0	7.104753	8	0	10
53.0	7.104774	12	0	10
54.0	7.104792	7	0	7
55.0	7.104806	8	0	6
56.0	7.104817	9	0	8
57.0	7.104827	4	0	5
58.0	7.104834	6	0	6
59.0	7.10484	8	0	7
60.0	7.104845	4	0	5
61.0	7.104849	2	0	1
62.0	7.104852	7	0	7
63.0	7.104855	4	0	4
64.0	7.104857	2	0	5
65.0	7.104859	10	0	6
66.0	7.10486	4	0	4
67.0	7.104861	7	0	6
68.0	7.104862	4	0	3
69.0	7.104863	2	0	5
70.0	7.104863	4	0	3
71.0	7.104864	4	0	2
72.0	7.104864	5	0	2
73.0	7.104865	3	0	5
74.0	7.104865	3	0	4
75.0	7.104865	5	0	4
76.0	7.104865	4	0	2
77.0	7.104865	1	0	2
78.0	7.104865	2	0	2
79.0	7.104865	2	0	2
80.0	7.104866	3	0	2
81.0	7.104866	3	0	3
82.0	7.104866	1	0	2
83.0	7.104866	2	0	1
84.0	7.104866	2	0	2
85.0	7.104866	2	0	2
86.0	7.104866	2	0	2
87.0	7.104866	7	0	5
88.0	7.104866	3	0	4
89.0	7.104866	3	0	4
90.0	7.104866	2	0	3
91.0	7.104866	1	0	0
92.0	7.104866	1	0	1
93.0	7.104866	1	0	3
94.0	7.104866	3	0	2
95.0	7.104866	1	0	1
96.0	7.104866	2	0	2
97.0	7.104866	2	0	1
98.0	7.104866	0	0	0
99.0	7.104866	2	0	0
100.0	7.104866	2	0	2
101.0	0	1	0	1
102.0	0	1	0	2
103.0	0	2	0	1
104.0	0	3	0	3
105.0	0	1	0	1
106.0	0	0	0	1
107.0	0	1	0	2
108.0	0	2	0	1
109.0	0	2	0	1
111.0	0	0	0	1
112.0	0	1	0	4
113.0	0	2	0	2
114.0	0	4	0	1
115.0	0	1	0	1
116.0	0	0	0	1
117.0	0	1	0	1
118.0	0	1	0	2
119.0	0	2	0	0
120.0	0	1	0	1
121.0	0	1	0	0
122.0	0	2	0	2
123.0	0	2	0	3
124.0	0	2	0	1
125.0	0	2	0	2
126.0	0	1	0	1
127.0	0	0	0	3
128.0	0	0	0	1
129.0	0	2	0	0
130.0	0	2	0	3
131.0	0	2	0	1
132.0	0	1	0	0
138.0	0	1	0	0
142.0	0	1	0	1
143.0	0	1	0	1
144.0	0	0	0	1
145.0	0	1	0	0
146.0	0	2	0	2
149.0	0	1	0	1
151.0	0	0	0	2
152.0	0	2	0	1
153.0	0	1	0	1
154.0	0	1	0	0
157.0	0	0	0	1
158.0	0	1	0	0
159.0	0	0	0	1
161.0	0	1	0	1
163.0	0	1	0	1
164.0	0	1	0	0
166.0	0	0	0	1
167.0	0	0	0	1
168.0	0	0	0	1
169.0	0	1	0	0
170.0	0	1	0	1
171.0	0	2	0	1
172.0	0	2	0	1
177.0	0	0	0	2
179.0	0	2	0	0
184.0	0	1	0	3
185.0	0	2	0	1
186.0	0	1	0	0
187.0	0	0	0	3
188.0	0	2	0	0
189.0	0	1	0	0
190.0	0	1	0	1
193.0	0	0	0	1
194.0	0	1	0	0
196.0	0	0	0	1
197.0	0	1	0	0
198.0	0	0	0	1
199.0	0	0	0	1
200.0	0	2	0	0
203.0	0	0	0	1
205.0	0	1	0	0
206.0	0	0	0	1
207.0	0	1	0	0
210.0	0	0	0	1
211.0	0	1	0	0
213.0	0	0	0	1
215.0	0	1	0	0
216.0	0	0	0	4
217.0	0	2	0	1
219.0	0	2	0	0
220.0	0	0	0	2
221.0	0	1	0	0
222.0	0	1	0	0
223.0	0	0	0	1
224.0	0	1	0	0
226.0	0	1	0	0
228.0	0	1	0	1
234.0	0	0	0	2
235.0	0	2	0	0
236.0	0	0	0	2
238.0	0	1	0	1
239.0	0	1	0	0
242.0	0	1	0	1
245.0	0	0	0	2
246.0	0	1	0	0
247.0	0	1	0	1
248.0	0	1	0	1
249.0	0	0	0	2
250.0	0	1	0	1
251.0	0	1	0	1
252.0	0	2	0	0
253.0	0	2	0	0
255.0	0	0	0	1
259.0	0	1	0	0
260.0	0	0	0	1
262.0	0	1	0	0
265.0	0	0	0	1
267.0	0	0	0	1
268.0	0	1	0	0
272.0	0	0	0	1
274.0	0	2	0	0
277.0	0	0	0	1
281.0	0	1	0	0
285.0	0	0	0	2
287.0	0	1	0	1
289.0	0	0	0	2
290.0	0	1	0	0
291.0	0	1	0	1
292.0	0	3	0	0
294.0	0	0	0	1
297.0	0	0	0	1
298.0	0	1	0	0
301.0	0	1	0	1
303.0	0	1	0	0
304.0	0	0	0	1
