## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT results/aligned/nr57.sorted.bam --OUTPUT results/aligned/nr57.dedup.bam --METRICS_FILE results/qc/dedup/nr57_dedup_metrics.txt --REMOVE_DUPLICATES false --VALIDATION_STRINGENCY LENIENT --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_DUP_STRATEGY FLOW_QUALITY_SUM_STRATEGY --FLOW_USE_END_IN_UNPAIRED_READS false --FLOW_USE_UNPAIRED_CLIPPED_END false --FLOW_UNPAIRED_END_UNCERTAINTY 0 --FLOW_UNPAIRED_START_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Mar 06 14:07:04 CET 2026

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
nr57	171699	34811817	1204664	1175263	111191	13210134	11561189	0.380132	156075021

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.444459	14407036	0	20153450
2.0	2.60014	4169893	3652029	1381840
3.0	3.524775	1592728	1409399	42496
4.0	4.264556	714525	641476	7048
5.0	4.856439	347750	312918	4146
6.0	5.329992	175481	156262	2978
7.0	5.708871	90864	79013	2314
8.0	6.012004	47644	40164	1786
9.0	6.254535	24962	20378	1263
10.0	6.448578	13366	10442	959
11.0	6.603828	7176	5200	687
12.0	6.72804	3862	2737	494
13.0	6.82742	2206	1394	346
14.0	6.906931	1262	735	244
15.0	6.970546	697	354	190
16.0	7.021443	433	204	159
17.0	7.062165	274	107	121
18.0	7.094746	209	75	104
19.0	7.120813	162	29	78
20.0	7.141669	93	7	61
21.0	7.158355	84	10	61
22.0	7.171705	70	4	51
23.0	7.182386	55	4	45
24.0	7.190932	49	2	45
25.0	7.19777	41	1	30
26.0	7.20324	35	2	32
27.0	7.207617	33	3	32
28.0	7.211119	37	1	34
29.0	7.21392	36	0	25
30.0	7.216162	24	0	17
31.0	7.217955	29	1	18
32.0	7.21939	24	0	18
33.0	7.220538	12	0	12
34.0	7.221457	19	0	24
35.0	7.222192	23	0	26
36.0	7.222779	24	0	13
37.0	7.22325	14	0	12
38.0	7.223626	12	0	12
39.0	7.223927	11	0	12
40.0	7.224168	11	0	11
41.0	7.224361	15	0	9
42.0	7.224515	14	0	14
43.0	7.224639	10	0	8
44.0	7.224737	13	0	11
45.0	7.224816	7	0	5
46.0	7.22488	6	0	7
47.0	7.22493	11	0	11
48.0	7.224971	4	0	8
49.0	7.225003	10	0	8
50.0	7.225029	5	1	6
51.0	7.22505	7	0	8
52.0	7.225066	5	0	3
53.0	7.225079	8	0	4
54.0	7.22509	5	0	6
55.0	7.225098	2	0	2
56.0	7.225105	7	0	7
57.0	7.225111	5	0	6
58.0	7.225115	10	0	10
59.0	7.225119	7	0	3
60.0	7.225121	7	0	2
61.0	7.225124	4	0	6
62.0	7.225125	9	0	7
63.0	7.225127	3	0	2
64.0	7.225128	3	0	4
65.0	7.225129	5	0	5
66.0	7.22513	6	0	6
67.0	7.22513	5	0	6
68.0	7.225131	13	0	12
69.0	7.225131	3	0	3
70.0	7.225131	6	0	5
71.0	7.225132	4	0	3
72.0	7.225132	1	0	2
73.0	7.225132	5	0	4
74.0	7.225132	4	0	2
75.0	7.225132	7	0	7
76.0	7.225132	3	0	3
77.0	7.225132	4	0	3
78.0	7.225132	3	0	6
79.0	7.225132	3	0	2
80.0	7.225132	4	0	3
81.0	7.225132	6	0	5
82.0	7.225132	3	0	4
83.0	7.225132	2	0	1
84.0	7.225132	1	0	2
85.0	7.225132	1	0	1
86.0	7.225132	2	0	2
87.0	7.225132	3	0	4
88.0	7.225132	4	0	2
89.0	7.225132	2	0	1
90.0	7.225132	2	0	3
91.0	7.225132	2	0	2
92.0	7.225132	2	0	3
93.0	7.225132	5	0	3
94.0	7.225132	2	0	2
95.0	7.225132	0	0	1
96.0	7.225132	3	0	3
97.0	7.225132	1	0	0
98.0	7.225132	1	0	2
99.0	7.225132	1	0	0
100.0	7.225132	3	0	3
101.0	0	1	0	3
102.0	0	3	0	0
103.0	0	2	0	2
104.0	0	0	0	1
105.0	0	1	0	1
106.0	0	1	0	1
107.0	0	2	0	3
108.0	0	2	0	1
109.0	0	2	0	5
110.0	0	2	0	0
111.0	0	3	0	2
112.0	0	1	0	0
113.0	0	1	0	2
114.0	0	0	0	1
115.0	0	3	0	1
116.0	0	1	0	2
118.0	0	2	0	1
119.0	0	2	0	2
120.0	0	3	0	2
121.0	0	0	0	1
122.0	0	2	0	2
123.0	0	1	0	1
124.0	0	1	0	1
127.0	0	0	0	1
128.0	0	1	0	0
130.0	0	2	0	2
132.0	0	1	0	0
133.0	0	1	0	1
134.0	0	0	0	1
137.0	0	1	0	1
138.0	0	1	0	0
139.0	0	0	0	1
140.0	0	1	0	2
141.0	0	2	0	0
146.0	0	1	0	3
148.0	0	1	0	0
149.0	0	1	0	0
150.0	0	1	0	2
151.0	0	1	0	0
152.0	0	0	0	1
154.0	0	1	0	0
156.0	0	1	0	1
