## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT results/aligned/nr11.sorted.bam --OUTPUT results/aligned/nr11.dedup.bam --METRICS_FILE results/qc/dedup/nr11_dedup_metrics.txt --REMOVE_DUPLICATES false --VALIDATION_STRINGENCY LENIENT --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_DUP_STRATEGY FLOW_QUALITY_SUM_STRATEGY --FLOW_USE_END_IN_UNPAIRED_READS false --FLOW_USE_UNPAIRED_CLIPPED_END false --FLOW_UNPAIRED_END_UNCERTAINTY 0 --FLOW_UNPAIRED_START_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Mar 06 15:53:55 CET 2026

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
nr11	60865	21731225	680431	585521	39723	7577837	6285845	0.349132	87098831

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.358849	9836164	0	13082551
2.0	2.417651	2639578	2206213	1008935
3.0	3.242658	925645	787205	36925
4.0	3.885495	388316	335200	7416
5.0	4.386387	180032	155546	4191
6.0	4.776676	87544	74164	2927
7.0	5.080786	43951	36200	2120
8.0	5.317745	22576	18034	1545
9.0	5.502382	12108	9029	1155
10.0	5.646248	6492	4444	892
11.0	5.758348	3580	2232	729
12.0	5.845694	2157	1226	575
13.0	5.913754	1255	569	447
14.0	5.966785	805	272	397
15.0	6.008107	524	133	326
16.0	6.040304	373	78	258
17.0	6.065392	260	43	195
18.0	6.08494	228	23	168
19.0	6.100172	206	14	159
20.0	6.11204	132	5	103
21.0	6.121288	93	4	93
22.0	6.128494	93	5	68
23.0	6.134108	75	1	65
24.0	6.138483	56	2	55
25.0	6.141892	55	0	56
26.0	6.144548	53	0	57
27.0	6.146618	48	0	39
28.0	6.14823	38	0	39
29.0	6.149487	37	0	33
30.0	6.150466	41	1	49
31.0	6.151229	48	0	38
32.0	6.151823	33	0	24
33.0	6.152286	21	0	20
34.0	6.152647	39	0	43
35.0	6.152929	35	0	32
36.0	6.153148	21	0	15
37.0	6.153318	26	0	25
38.0	6.153452	15	0	13
39.0	6.153555	22	0	25
40.0	6.153636	21	0	19
41.0	6.153699	13	0	16
42.0	6.153748	23	0	21
43.0	6.153786	20	1	18
44.0	6.153816	22	0	20
45.0	6.153839	17	0	18
46.0	6.153857	19	0	16
47.0	6.153871	16	0	16
48.0	6.153882	13	0	11
49.0	6.153891	20	0	15
50.0	6.153897	14	0	14
51.0	6.153903	15	0	15
52.0	6.153907	12	0	12
53.0	6.15391	11	0	10
54.0	6.153912	13	0	13
55.0	6.153914	14	0	8
56.0	6.153916	7	0	5
57.0	6.153917	6	0	9
58.0	6.153918	9	0	6
59.0	6.153918	10	0	13
60.0	6.153919	11	0	6
61.0	6.153919	6	0	6
62.0	6.15392	9	0	12
63.0	6.15392	10	0	9
64.0	6.15392	6	0	4
65.0	6.15392	3	0	5
66.0	6.153921	7	0	9
67.0	6.153921	7	0	8
68.0	6.153921	5	0	5
69.0	6.153921	4	0	7
70.0	6.153921	9	0	8
71.0	6.153921	9	0	7
72.0	6.153921	9	0	11
73.0	6.153921	5	0	4
74.0	6.153921	3	0	3
75.0	6.153921	3	0	3
76.0	6.153921	4	0	4
77.0	6.153921	6	0	5
78.0	6.153921	2	0	4
