## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT results/aligned/nr49.sorted.bam --OUTPUT results/aligned/nr49.dedup.bam --METRICS_FILE results/qc/dedup/nr49_dedup_metrics.txt --REMOVE_DUPLICATES false --VALIDATION_STRINGENCY LENIENT --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_DUP_STRATEGY FLOW_QUALITY_SUM_STRATEGY --FLOW_USE_END_IN_UNPAIRED_READS false --FLOW_USE_UNPAIRED_CLIPPED_END false --FLOW_UNPAIRED_END_UNCERTAINTY 0 --FLOW_UNPAIRED_START_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Mar 05 21:37:17 CET 2026

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
nr49	171813	40223309	1514298	1215187	118738	14582165	12149257	0.36323	152477623

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.378846	17488465	0	23605247
2.0	2.437978	4910471	4149877	1904563
3.0	3.251527	1757549	1485893	81701
4.0	3.876437	748882	643380	16163
5.0	4.356449	353442	304611	8792
6.0	4.725159	176689	150769	5891
7.0	5.008376	91548	75841	4226
8.0	5.225924	48529	39363	2898
9.0	5.393028	26555	20467	2219
10.0	5.521385	14684	10559	1651
11.0	5.61998	8125	5575	1210
12.0	5.695714	4849	2928	945
13.0	5.753887	2780	1488	699
14.0	5.798572	1790	872	565
15.0	5.832895	1164	481	451
16.0	5.85926	836	244	429
17.0	5.879512	540	152	314
18.0	5.895068	452	88	285
19.0	5.907016	386	50	251
20.0	5.916195	315	31	221
21.0	5.923245	263	21	219
22.0	5.92866	247	20	151
23.0	5.93282	188	10	160
24.0	5.936015	165	8	143
25.0	5.938469	159	6	120
26.0	5.940355	146	0	117
27.0	5.941803	127	2	98
28.0	5.942915	108	3	89
29.0	5.943769	102	4	78
30.0	5.944426	95	3	64
31.0	5.94493	87	4	63
32.0	5.945317	74	2	61
33.0	5.945615	80	2	58
34.0	5.945843	55	2	41
35.0	5.946018	53	2	37
36.0	5.946153	55	4	39
37.0	5.946257	55	4	25
38.0	5.946336	42	0	43
39.0	5.946397	48	1	42
40.0	5.946444	38	0	26
41.0	5.94648	21	0	24
42.0	5.946508	44	2	30
43.0	5.946529	24	2	27
44.0	5.946546	26	0	23
45.0	5.946558	29	0	24
46.0	5.946568	31	0	19
47.0	5.946575	24	0	28
48.0	5.946581	26	0	20
49.0	5.946585	33	0	18
50.0	5.946589	21	1	18
51.0	5.946591	22	0	21
52.0	5.946593	25	0	19
53.0	5.946595	21	0	18
54.0	5.946596	14	0	22
55.0	5.946597	22	0	16
56.0	5.946598	15	0	6
57.0	5.946598	20	0	19
58.0	5.946599	21	0	14
59.0	5.946599	13	0	16
60.0	5.946599	17	0	13
61.0	5.946599	13	0	4
62.0	5.946599	19	0	7
63.0	5.946599	7	0	3
64.0	5.9466	14	0	10
65.0	5.9466	5	0	12
66.0	5.9466	6	1	4
67.0	5.9466	12	0	5
68.0	5.9466	5	0	6
69.0	5.9466	9	0	7
70.0	5.9466	8	0	6
71.0	5.9466	4	0	7
72.0	5.9466	9	0	12
73.0	5.9466	4	0	5
74.0	5.9466	10	1	5
75.0	5.9466	4	0	3
76.0	5.9466	10	1	8
77.0	5.9466	5	0	2
